,date,state,fips,cases,deaths
288,04-03-2020,Illinois,17,4,0
289,04-03-2020,Massachusetts,25,2,0
290,04-03-2020,Nebraska,31,13,0
291,04-03-2020,New Hampshire,33,2,0
292,04-03-2020,New Jersey,34,1,0
293,04-03-2020,New York,36,11,0
294,04-03-2020,North Carolina,37,1,0
295,04-03-2020,Oregon,41,2,0
296,04-03-2020,Rhode Island,44,2,0
297,04-03-2020,Texas,48,12,0
298,04-03-2020,Utah,49,1,0
299,04-03-2020,Washington,53,47,11
300,04-03-2020,Wisconsin,55,1,0
301,05-03-2020,Arizona,4,2,0
302,05-03-2020,California,6,67,1
303,05-03-2020,Colorado,8,2,0
304,05-03-2020,Florida,12,4,0
305,05-03-2020,Georgia,13,2,0
306,05-03-2020,Illinois,17,5,0
307,05-03-2020,Maryland,24,3,0
308,05-03-2020,Massachusetts,25,3,0
309,05-03-2020,Nebraska,31,13,0
310,05-03-2020,Nevada,32,2,0
311,05-03-2020,New Hampshire,33,2,0
312,05-03-2020,New Jersey,34,2,0
313,05-03-2020,New York,36,22,0
314,05-03-2020,North Carolina,37,1,0
315,05-03-2020,Oregon,41,2,0
316,05-03-2020,Rhode Island,44,2,0
317,05-03-2020,Tennessee,47,1,0
318,05-03-2020,Texas,48,16,0
319,05-03-2020,Utah,49,1,0
320,05-03-2020,Washington,53,75,11
321,05-03-2020,Wisconsin,55,1,0
322,06-03-2020,Arizona,4,3,0
323,06-03-2020,California,6,81,1
324,06-03-2020,Colorado,8,8,0
325,06-03-2020,Florida,12,7,2
326,06-03-2020,Georgia,13,3,0
327,06-03-2020,Hawaii,15,1,0
328,06-03-2020,Illinois,17,6,0
329,06-03-2020,Indiana,18,1,0
330,06-03-2020,Kentucky,21,1,0
331,06-03-2020,Maryland,24,3,0
332,06-03-2020,Massachusetts,25,8,0
333,06-03-2020,Minnesota,27,1,0
334,06-03-2020,Nebraska,31,14,0
335,06-03-2020,Nevada,32,2,0
336,06-03-2020,New Hampshire,33,2,0
337,06-03-2020,New Jersey,34,4,0
338,06-03-2020,New York,36,44,0
339,06-03-2020,North Carolina,37,2,0
340,06-03-2020,Oklahoma,40,1,0
341,06-03-2020,Oregon,41,2,0
342,06-03-2020,Pennsylvania,42,2,0
343,06-03-2020,Rhode Island,44,3,0
344,06-03-2020,South Carolina,45,2,0
345,06-03-2020,Tennessee,47,1,0
346,06-03-2020,Texas,48,19,0
347,06-03-2020,Utah,49,3,0
348,06-03-2020,Washington,53,86,12
349,06-03-2020,Wisconsin,55,1,0
350,07-03-2020,Arizona,4,5,0
351,07-03-2020,California,6,100,1
352,07-03-2020,Colorado,8,8,0
353,07-03-2020,District of Columbia,11,1,0
354,07-03-2020,Florida,12,12,2
355,07-03-2020,Georgia,13,7,0
356,07-03-2020,Hawaii,15,1,0
357,07-03-2020,Illinois,17,6,0
358,07-03-2020,Indiana,18,1,0
359,07-03-2020,Kansas,20,1,0
360,07-03-2020,Kentucky,21,1,0
361,07-03-2020,Maryland,24,3,0
362,07-03-2020,Massachusetts,25,13,0
363,07-03-2020,Minnesota,27,1,0
364,07-03-2020,Missouri,29,1,0
365,07-03-2020,Nebraska,31,14,0
366,07-03-2020,Nevada,32,2,0
367,07-03-2020,New Hampshire,33,4,0
368,07-03-2020,New Jersey,34,4,0
369,07-03-2020,New York,36,89,0
370,07-03-2020,North Carolina,37,2,0
371,07-03-2020,Oklahoma,40,1,0
372,07-03-2020,Oregon,41,6,0
373,07-03-2020,Pennsylvania,42,4,0
374,07-03-2020,Rhode Island,44,3,0
375,07-03-2020,South Carolina,45,2,0
376,07-03-2020,Tennessee,47,1,0
377,07-03-2020,Texas,48,19,0
378,07-03-2020,Utah,49,3,0
379,07-03-2020,Vermont,50,1,0
380,07-03-2020,Virginia,51,1,0
381,07-03-2020,Washington,53,110,16
382,07-03-2020,Wisconsin,55,1,0
383,08-03-2020,Arizona,4,5,0
384,08-03-2020,California,6,112,1
385,08-03-2020,Colorado,8,8,0
386,08-03-2020,Connecticut,9,1,0
387,08-03-2020,District of Columbia,11,1,0
388,08-03-2020,Florida,12,13,2
389,08-03-2020,Georgia,13,11,0
390,08-03-2020,Hawaii,15,2,0
391,08-03-2020,Illinois,17,7,0
392,08-03-2020,Indiana,18,2,0
393,08-03-2020,Iowa,19,3,0
394,08-03-2020,Kansas,20,1,0
395,08-03-2020,Kentucky,21,4,0
396,08-03-2020,Maryland,24,5,0
397,08-03-2020,Massachusetts,25,28,0
398,08-03-2020,Minnesota,27,2,0
399,08-03-2020,Missouri,29,1,0
400,08-03-2020,Nebraska,31,16,0
401,08-03-2020,Nevada,32,4,0
402,08-03-2020,New Hampshire,33,4,0
403,08-03-2020,New Jersey,34,6,0
404,08-03-2020,New York,36,106,0
405,08-03-2020,North Carolina,37,2,0
406,08-03-2020,Oklahoma,40,1,0
407,08-03-2020,Oregon,41,13,0
408,08-03-2020,Pennsylvania,42,6,0
409,08-03-2020,Rhode Island,44,3,0
410,08-03-2020,South Carolina,45,6,0
411,08-03-2020,Tennessee,47,3,0
412,08-03-2020,Texas,48,23,0
413,08-03-2020,Utah,49,3,0
414,08-03-2020,Vermont,50,1,0
415,08-03-2020,Virginia,51,2,0
416,08-03-2020,Washington,53,141,19
417,08-03-2020,Wisconsin,55,1,0
418,09-03-2020,Arizona,4,6,0
419,09-03-2020,California,6,172,2
420,09-03-2020,Colorado,8,12,0
421,09-03-2020,Connecticut,9,2,0
422,09-03-2020,District of Columbia,11,4,0
423,09-03-2020,Florida,12,14,2
424,09-03-2020,Georgia,13,17,0
425,09-03-2020,Hawaii,15,2,0
426,09-03-2020,Illinois,17,11,0
427,09-03-2020,Indiana,18,4,0
428,09-03-2020,Iowa,19,8,0
429,09-03-2020,Kansas,20,1,0
430,09-03-2020,Kentucky,21,5,0
431,09-03-2020,Louisiana,22,1,0
432,09-03-2020,Maryland,24,6,0
433,09-03-2020,Massachusetts,25,41,0
434,09-03-2020,Minnesota,27,2,0
435,09-03-2020,Missouri,29,1,0
436,09-03-2020,Nebraska,31,16,0
437,09-03-2020,Nevada,32,4,0
438,09-03-2020,New Hampshire,33,4,0
439,09-03-2020,New Jersey,34,11,0
440,09-03-2020,New York,36,142,0
441,09-03-2020,North Carolina,37,7,0
442,09-03-2020,Ohio,39,3,0
443,09-03-2020,Oklahoma,40,1,0
444,09-03-2020,Oregon,41,13,0
445,09-03-2020,Pennsylvania,42,10,0
446,09-03-2020,Rhode Island,44,3,0
447,09-03-2020,South Carolina,45,7,0
448,09-03-2020,Tennessee,47,4,0
449,09-03-2020,Texas,48,24,0
450,09-03-2020,Utah,49,3,0
451,09-03-2020,Vermont,50,1,0
452,09-03-2020,Virginia,51,5,0
453,09-03-2020,Washington,53,179,22
454,09-03-2020,Wisconsin,55,2,0
455,10-03-2020,Arizona,4,6,0
456,10-03-2020,California,6,179,3
457,10-03-2020,Colorado,8,17,0
458,10-03-2020,Connecticut,9,2,0
459,10-03-2020,District of Columbia,11,4,0
460,10-03-2020,Florida,12,23,2
461,10-03-2020,Georgia,13,22,0
462,10-03-2020,Hawaii,15,2,0
463,10-03-2020,Illinois,17,19,0
464,10-03-2020,Indiana,18,6,0
465,10-03-2020,Iowa,19,13,0
466,10-03-2020,Kansas,20,1,0
467,10-03-2020,Kentucky,21,7,0
468,10-03-2020,Louisiana,22,6,0
469,10-03-2020,Maryland,24,9,0
470,10-03-2020,Massachusetts,25,92,0
471,10-03-2020,Michigan,26,2,0
472,10-03-2020,Minnesota,27,3,0
473,10-03-2020,Missouri,29,1,0
474,10-03-2020,Nebraska,31,17,0
475,10-03-2020,Nevada,32,4,0
476,10-03-2020,New Hampshire,33,5,0
477,10-03-2020,New Jersey,34,15,1
478,10-03-2020,New York,36,173,0
479,10-03-2020,North Carolina,37,7,0
480,10-03-2020,Ohio,39,3,0
481,10-03-2020,Oklahoma,40,2,0
482,10-03-2020,Oregon,41,14,0
483,10-03-2020,Pennsylvania,42,12,0
484,10-03-2020,Rhode Island,44,5,0
485,10-03-2020,South Carolina,45,9,0
486,10-03-2020,South Dakota,46,5,1
487,10-03-2020,Tennessee,47,7,0
488,10-03-2020,Texas,48,31,0
489,10-03-2020,Utah,49,4,0
490,10-03-2020,Vermont,50,1,0
491,10-03-2020,Virginia,51,8,0
492,10-03-2020,Washington,53,279,24
493,10-03-2020,Wisconsin,55,3,0
494,11-03-2020,Arizona,4,9,0
495,11-03-2020,Arkansas,5,1,0
496,11-03-2020,California,6,202,4
497,11-03-2020,Colorado,8,34,0
